,player1,player2,ace%,df%,1stIn%,1stWon%,2ndWon%,bpSaved%,label,surface_Clay,surface_Grass,surface_Hard,tourney_level_A,tourney_level_G,tourney_level_M,best_of_3,best_of_5
0,Rhyne Williams,John Millman,-0.07636363636363636,0.034545454545454546,0.07454545454545458,-0.0318181818181818,-0.21818181818181817,-0.8,player2,0,0,1,1,0,0,1,0
1,Denis Kudla,Jarkko Nieminen,0.028810895756940805,0.012048192771084338,-0.03889470927187,-0.11066003143006808,0.044133053954950235,-0.1964285714285714,player2,0,0,1,1,0,0,1,0
2,Gilles Simon,James Duckworth,-0.05317460317460318,0.017857142857142856,0.06071428571428572,-0.05158730158730157,-0.15515873015873016,0.0,player2,0,0,1,1,0,0,1,0
3,Jeremy Chardy,Andrey Golubev,-0.02581926514399205,-0.016219794769943726,0.0691823899371069,0.05858987090367429,0.06719629261833832,0.6666666666666667,player1,0,0,1,1,0,0,1,0
4,Martin Klizan,Jurgen Melzer,0.0271255060728745,-0.011336032388663965,-0.04493927125506081,0.0020242914979757276,0.007692307692307693,0.25,player1,0,0,1,1,0,0,1,0
5,Carlos Berlocq,Alexandr Dolgopolov,-0.08398744113029827,0.005232862375719519,0.046834118262689683,-0.07953950811093669,-0.1423338566195709,-0.01666666666666672,player2,0,0,1,1,0,0,1,0
6,Lukasz Kubot,Kevin Anderson,-0.08097165991902833,0.024628879892037783,0.08805668016194335,0.05398110661268557,-0.0441970310391363,0.02857142857142858,player1,0,0,1,1,0,0,1,0
7,Lleyton Hewitt,Sam Groth,-0.2756501182033097,0.044444444444444446,-0.2345153664302601,-0.3494089834515367,0.1408983451536643,-0.75,player2,0,0,1,1,0,0,1,0
8,Mikhail Kukushkin,Marius Copil,-0.15529695024077045,-0.010567148207597646,0.03745318352059923,-0.016853932584269704,0.02193686463349384,-0.16666666666666669,player1,0,0,1,1,0,0,1,0
9,Thanasi Kokkinakis,Julien Benneteau,0.07692307692307691,-0.038461538461538464,-0.05769230769230771,0.03846153846153849,0.1346153846153846,0.25,player1,0,0,1,1,0,0,1,0
10,Sam Querrey,Bernard Tomic,0.22077922077922077,0.04285714285714286,0.0025974025974025983,0.03246753246753248,-0.0727272727272727,-0.13333333333333341,player2,0,0,1,1,0,0,1,0
11,Marinko Matosevic,Steve Johnson,-0.053028798411122124,0.015590863952333667,0.030983118172790425,0.007447864945382354,-0.07338629592850052,0.08333333333333337,player2,0,0,1,1,0,0,1,0
12,John Millman,Roger Federer,-0.07626050420168068,-0.017436974789915967,0.054621848739495826,-0.04243697478991598,-0.04495798319327732,-0.12587412587412594,player2,0,0,1,1,0,0,1,0
13,Jarkko Nieminen,James Duckworth,-0.08600305110602594,-0.02631578947368421,0.07322654462242562,0.04176201372997712,-0.004004576659038889,-0.11111111111111116,player2,0,0,1,1,0,0,1,0
14,Grigor Dimitrov,Jeremy Chardy,0.022029372496662217,-0.019581664441477523,-0.020916777926123786,-0.046283934134401405,0.05622311229787866,-0.20879120879120883,player1,0,0,1,1,0,0,1,0
15,Alexandr Dolgopolov,Martin Klizan,0.12085704720455305,-0.023685972547706734,0.030883829929695406,0.09859390693003012,0.029293605624372276,-0.25,player2,0,0,1,1,0,0,1,0
16,Sam Groth,Lukasz Kubot,0.0641891891891892,-0.026624839124839126,0.05107786357786359,0.04070141570141561,-0.025257400257400253,0.1428571428571429,player1,0,0,1,1,0,0,1,0
17,Mikhail Kukushkin,Milos Raonic,-0.33564814814814814,-0.06481481481481481,-0.05324074074074081,-0.17592592592592599,-0.02777777777777779,-0.5,player2,0,0,1,1,0,0,1,0
18,Bernard Tomic,Thanasi Kokkinakis,-0.0036429872495446353,-0.03529143897996357,0.1837431693989071,0.15072859744990896,-0.06284153005464482,0.4,player1,0,0,1,1,0,0,1,0
19,Steve Johnson,Kei Nishikori,-0.0061169562025935875,0.0014680694886224626,-0.13065818448739908,-0.11402006361634454,0.039882554440910184,-0.6666666666666667,player2,0,0,1,1,0,0,1,0
20,James Duckworth,Roger Federer,-0.4,-0.04035087719298246,-0.042105263157894646,-0.42280701754385963,-0.09473684210526317,-0.75,player2,0,0,1,1,0,0,1,0
21,Martin Klizan,Grigor Dimitrov,-0.06620324395895398,-0.016219794769943726,0.10162197947699436,-0.0033101621979476636,-0.11618669314796423,-0.1333333333333333,player2,0,0,1,1,0,0,1,0
22,Milos Raonic,Sam Groth,-0.06823979591836735,0.010629251700680272,-0.07801870748299311,-0.03975340136054417,0.02444727891156462,-0.19999999999999996,player1,0,0,1,1,0,0,1,0
23,Bernard Tomic,Kei Nishikori,0.015479876160990724,0.0030959752321981435,-0.08126934984520129,-0.24922600619195046,-0.0634674922600619,-0.25,player2,0,0,1,1,0,0,1,0
24,Grigor Dimitrov,Roger Federer,0.0625,0.0,-0.0625,-0.16666666666666669,-0.0625,-0.5714285714285714,player2,0,0,1,1,0,0,1,0
25,Kei Nishikori,Milos Raonic,-0.22696438665912944,0.001271905031091012,0.018371961560203487,0.004663651780667077,0.0007066139061616683,0.0,player2,0,0,1,1,0,0,1,0
26,Milos Raonic,Roger Federer,-0.08037037037037037,0.037037037037037035,-0.10296296296296292,-0.10259259259259262,0.06,-0.261904761904762,player2,0,0,1,1,0,0,1,0
27,Borna Coric,Robin Haase,0.06159420289855072,0.020833333333333332,-0.04528985507246386,0.13315217391304346,0.14130434782608697,0.5142857142857143,player1,0,0,1,1,0,0,1,0
28,Elias Ymer,Igor Sijsling,0.006887755102040816,-0.04642857142857142,0.05484693877551017,0.04872448979591837,0.054846938775510196,0.0714285714285714,player1,0,0,1,1,0,0,1,0
29,Edouard Roger Vasselin,Gilles Muller,-0.2503960396039604,-0.0102970297029703,0.0331683168316832,0.005049504950495054,-0.07158415841584159,-0.55,player2,0,0,1,1,0,0,1,0
30,Luca Vanni,Ricardas Berankis,0.08317089018843404,-0.027128005198180635,-0.03736192332683563,-0.06384015594541914,-0.000649772579597141,-0.2142857142857143,player2,0,0,1,1,0,0,1,0
31,Jiri Vesely,N Vijay Sundar Prashanth,0.10256410256410256,0.02564102564102564,0.08065268065268072,0.29463869463869463,-0.023776223776223737,0.5,player1,0,0,1,1,0,0,1,0
32,Andreas Haider Maurer,Marcel Granollers,-0.0346005346005346,0.01692901692901693,-0.04098604098604097,-0.04024354024354021,-0.014998514998514983,0.0,player1,0,0,1,1,0,0,1,0
33,Somdev Devvarman,Yen Hsun Lu,0.012143290831815423,0.01639344262295082,0.0488767455980571,-0.04675166970248934,-0.11171827565270187,0.30303030303030304,player2,0,0,1,1,0,0,1,0
34,Alejandro Gonzalez,Pablo Carreno Busta,0.022705314009661838,0.022705314009661838,0.033333333333333326,-0.1681159420289855,-0.10531400966183574,-0.375,player2,0,0,1,1,0,0,1,0
35,Alejandro Falla,Peter Gojowczyk,-0.047619047619047616,0.0,0.05555555555555558,-0.17857142857142855,-0.17063492063492064,-0.8333333333333334,player2,0,0,1,1,0,0,1,0
36,Guillermo Garcia Lopez,Evgeny Donskoy,-0.010496453900709211,-0.05049645390070921,0.004113475177304982,0.08354609929078016,0.1072340425531915,0.14545454545454545,player1,0,0,1,1,0,0,1,0
37,Tatsuma Ito,Ramkumar Ramanathan,-0.07842157842157842,-0.03271728271728272,0.2112887112887113,0.24500499500499495,-0.05344655344655344,0.2727272727272727,player1,0,0,1,1,0,0,1,0
38,Lukas Lacko,Aljaz Bedene,-0.07167293876154635,-0.023605884365378034,0.1558330482381115,0.004618542593226138,-0.07834416695176188,-0.1428571428571429,player2,0,0,1,1,0,0,1,0
39,Stan Wawrinka,Borna Coric,0.046296296296296294,0.020833333333333332,0.02314814814814814,0.16666666666666669,0.04629629629629631,0.375,player1,0,0,1,1,0,0,1,0
40,Elias Ymer,Gilles Muller,-0.04475703324808185,0.03580562659846547,0.21675191815856787,0.1962915601023018,-0.21355498721227623,-1.0,player2,0,0,1,1,0,0,1,0
41,David Goffin,Ricardas Berankis,0.14394516374714394,0.011678090886011676,-0.1429296775831429,0.011931962427011944,0.14457984259964457,-0.09999999999999998,player1,0,0,1,1,0,0,1,0
42,Andreas Haider Maurer,Jiri Vesely,-0.005979381443298987,0.03216494845360824,0.02072164948453603,-0.024845360824742313,0.05556701030927835,0.35,player1,0,0,1,1,0,0,1,0
43,Yen Hsun Lu,Pablo Carreno Busta,0.016212043232115295,0.004632012352032939,-0.044004117344312865,0.03962943901183741,0.08286155429747814,0.22857142857142865,player1,0,0,1,1,0,0,1,0
44,Roberto Bautista Agut,Peter Gojowczyk,-0.00802232298569934,0.02302057900244158,-0.0006975933031043713,0.03662364841297522,0.10184862225322638,0.5833333333333334,player1,0,0,1,1,0,0,1,0
45,Tatsuma Ito,Guillermo Garcia Lopez,-0.04093361482524044,0.04844006568144499,0.028618343889279863,-0.055360075064508574,-0.06532958010790524,-0.015873015873015817,player2,0,0,1,1,0,0,1,0
46,Aljaz Bedene,Feliciano Lopez,0.04280701754385964,-0.009122807017543862,0.10666666666666658,0.2056140350877193,-0.051228070175438595,0.19999999999999996,player1,0,0,1,1,0,0,1,0
47,Stan Wawrinka,Gilles Muller,0.05148926344954976,-0.056338028169014086,0.10413299468944825,0.14199953821288386,0.05333641191410757,0.25,player1,0,0,1,1,0,0,1,0
48,David Goffin,Andreas Haider Maurer,0.04322580645161292,-0.012258064516129031,-0.12903225806451613,0.016774193548387106,0.17870967741935487,-0.42857142857142855,player1,0,0,1,1,0,0,1,0
49,Roberto Bautista Agut,Yen Hsun Lu,-0.017727639000805803,-0.011764705882352941,0.09089443996776791,0.0657534246575342,0.0074133763094278715,0.0,player1,0,0,1,1,0,0,1,0
50,Guillermo Garcia Lopez,Aljaz Bedene,-0.0700152207001522,0.0446935104469351,-0.13961533139615334,-0.1156773211567732,0.08495918084959178,-0.29870129870129875,player2,0,0,1,1,0,0,1,0
51,David Goffin,Stan Wawrinka,-0.03985507246376811,0.015096618357487924,0.036835748792270584,0.05917874396135264,-0.13164251207729472,-0.17500000000000004,player2,0,0,1,1,0,0,1,0
52,Roberto Bautista Agut,Aljaz Bedene,-0.09979797979797979,-0.0037979797979797968,0.17486868686868684,0.07434343434343438,-0.034181818181818174,-0.16666666666666663,player2,0,0,1,1,0,0,1,0
53,Aljaz Bedene,Stan Wawrinka,0.10071707953063885,0.021512385919165582,-0.026401564537157807,-0.0107561929595828,-0.04726205997392438,-0.5,player2,0,0,1,1,0,0,1,0
54,Dusan Lajovic,Novak Djokovic,-0.06,0.006511627906976743,-0.0720930232558139,-0.17767441860465116,-0.043720930232558144,-0.5833333333333334,player2,0,0,1,1,0,0,1,0
55,Jabor Al Mutawa,Sergiy Stakhovsky,-0.1082995951417004,0.02125506072874493,-0.06781376518218629,-0.2489878542510121,-0.036437246963562764,-0.625,player2,0,0,1,1,0,0,1,0
56,Nikoloz Basilashvili,Mikhail Youzhny,0.022351233671988387,-0.06153846153846154,0.10653120464441213,0.10595065312046442,0.05021770682148041,-0.1111111111111111,player1,0,0,1,1,0,0,1,0
57,Ivo Karlovic,Lukas Rosol,0.25731601731601733,-0.04,-0.029610389610389642,0.013506493506493522,0.07341991341991341,0.16666666666666663,player1,0,0,1,1,0,0,1,0
58,David Ferrer,Thiemo De Bakker,-0.052698227157607636,0.014513929475939996,-0.039645431521527386,-0.041983245665302926,0.12994350282485873,-0.25000000000000006,player1,0,0,1,1,0,0,1,0
59,Fernando Verdasco,Teymuraz Gabashvili,-0.053771230781614734,0.0010464461080254353,0.12170973194880463,-0.005151734685663656,-0.039281976978185626,-0.011111111111111183,player1,0,0,1,1,0,0,1,0
60,Dustin Brown,Paolo Lorenzi,0.08823529411764706,-0.016742081447963804,-0.029864253393665163,0.05588235294117644,0.06742081447963799,-0.06666666666666671,player1,0,0,1,1,0,0,1,0
61,Jan Lennard Struff,Philipp Kohlschreiber,-0.004093567251461996,-0.011111111111111112,-0.1011695906432748,0.047368421052631615,0.0023391812865496964,0.16666666666666674,player1,0,0,1,1,0,0,1,0
62,Pablo Andujar,Richard Gasquet,-0.11029411764705882,-0.04779411764705882,0.078125,-0.015625,-0.05330882352941177,-0.22857142857142865,player2,0,0,1,1,0,0,1,0
63,Benjamin Becker,Simone Bolelli,-0.07643442622950819,-0.01639344262295082,-0.0674180327868853,-0.1698770491803278,-0.017008196721311486,0.2142857142857143,player2,0,0,1,1,0,0,1,0
64,Juan Monaco,Blaz Kavcic,0.0006491398896462178,0.00016228497241155444,-0.041869522882181154,-0.10856864654333004,0.014767932489451463,-0.13333333333333341,player2,0,0,1,1,0,0,1,0
65,Tomas Berdych,Denis Istomin,0.2,0.0,-0.041134751773049705,0.14940898345153658,0.0973995271867612,0.4285714285714286,player1,0,0,1,1,0,0,1,0
66,Leonardo Mayer,Andreas Seppi,0.048059904697072844,0.020762423417290676,-0.009462219196732513,-0.01749489448604491,-0.024710687542545934,0.19999999999999996,player2,0,0,1,1,0,0,1,0
67,Malek Jaziri,Joao Souza,-0.0711111111111111,0.04,-0.2416666666666667,-0.22333333333333338,0.16555555555555554,-0.46666666666666673,player2,0,0,1,1,0,0,1,0
68,Mohamed Safwat,Ivan Dodig,-0.2222222222222222,0.041666666666666664,-0.0625,-0.26388888888888884,-0.125,-1.0,player2,0,0,1,1,0,0,1,0
