,player1,player2,ace%,df%,1stIn%,1stWon%,2ndWon%,bpSaved%,label,surface_Clay,surface_Hard,tourney_level_A,tourney_level_G,tourney_level_M,best_of_3,best_of_5
0,Novak Djokovic,Rafael Nadal,0.11607142857142858,-0.011607142857142858,0.03705357142857146,0.08348214285714284,0.054910714285714285,0.25,player1,0,1,1,0,0,1,0
1,Dusan Lajovic,Roberto Bautista Agut,0.0011894142134998495,0.0005947071067499247,-0.13172762414510852,-0.12310437109723465,-0.06422836752899197,-0.09999999999999998,player2,0,1,1,0,0,1,0
2,Novak Djokovic,Daniil Medvedev,-0.019519519519519517,-0.0012512512512512508,0.14789789789789787,0.15340340340340342,-0.08733733733733734,0.18181818181818188,player1,0,1,1,0,0,1,0
3,Karen Khachanov,Dusan Lajovic,0.09899867749858303,0.02304931040997544,-0.03287360665029282,-0.0734932930285282,-0.031740034007179285,-1.0,player2,0,1,1,0,0,1,0
4,Rafael Nadal,Alex De Minaur,-0.02047619047619048,0.022380952380952376,-0.0071428571428571175,0.07809523809523805,-0.01428571428571429,0.1333333333333333,player1,0,1,1,0,0,1,0
5,Roberto Bautista Agut,Nick Kyrgios,-0.16618819776714513,-0.01818181818181818,0.08102073365231255,0.21403508771929824,-0.022647527910685805,0.4285714285714286,player1,0,1,1,0,0,1,0
6,Denis Shapovalov,Novak Djokovic,0.13873473917869036,0.006881243063263043,-0.0861265260821309,-0.010432852386237534,-0.0028856825749167536,-0.3142857142857143,player2,0,1,1,0,0,1,0
7,Felix Auger Aliassime,Dusan Lajovic,0.09867172675521822,0.07352941176470588,-0.09629981024667933,-0.10863377609108166,-0.026091081593927895,-0.2727272727272727,player2,0,1,1,0,0,1,0
8,Daniil Medvedev,Diego Schwartzman,0.12372720814586786,-0.036585365853658534,-0.02273265451101114,0.07553871655221406,-0.0689083589865025,0.4,player1,0,1,1,0,0,1,0
9,Karen Khachanov,Guido Pella,0.06495726495726495,-0.04566544566544567,0.17631257631257624,0.24981684981684982,-0.10427350427350429,0.43333333333333335,player1,0,1,1,0,0,1,0
10,Daniel Evans,Alex De Minaur,-0.020772269657193837,-0.0009557792787052381,0.00063718618580344,-0.03753026634382567,0.017522620109596015,-0.2136752136752137,player1,0,1,1,0,0,1,0
11,Nick Kyrgios,Cameron Norrie,0.17872340425531916,-0.012379110251450678,0.05880077369439074,0.1323017408123791,0.09361702127659575,0.5476190476190477,player1,0,1,1,0,0,1,0
12,David Goffin,Rafael Nadal,0.02439024390243902,-0.012195121951219516,-0.024390243902439046,0.03658536585365857,-0.012195121951219495,0.014285714285714346,player1,0,1,1,0,0,1,0
13,Kimmer Coppejans,Roberto Bautista Agut,0.01945773524720893,-0.01690590111642743,0.00797448165869219,-0.09059011164274328,-0.06698564593301434,-0.16666666666666663,player2,0,1,1,0,0,1,0
14,Novak Djokovic,Gael Monfils,-0.09090909090909091,-0.019480519480519487,-0.17662337662337668,-0.10129870129870128,0.1948051948051948,1.0,player1,0,1,1,0,0,1,0
15,Benoit Paire,Dusan Lajovic,0.07494252873563217,0.05896551724137931,-0.1567816091954023,0.03126436781609193,0.026896551724137935,-0.11538461538461542,player1,0,1,1,0,0,1,0
16,Kevin Anderson,Novak Djokovic,0.02676962676962677,0.015057915057915056,-0.06705276705276697,-0.08584298584298578,-0.05186615186615187,0.125,player2,0,1,1,0,0,1,0
17,Lloyd Harris,Dusan Lajovic,0.1447557471264368,0.04058908045977012,-0.03340517241379315,-0.026580459770114973,-0.059985632183908066,0.75,player2,0,1,1,0,0,1,0
18,Cristian Garin,Novak Djokovic,0.06839622641509434,-0.012971698113207544,-0.04520440251572322,-0.13639937106918237,0.021619496855345893,-0.5,player2,0,1,1,0,0,1,0
19,Dusan Lajovic,Nicolas Jarry,-0.09375,0.0017361111111111119,0.046875,0.09895833333333331,0.005208333333333343,-0.0714285714285714,player1,0,1,1,0,0,1,0
20,Benoit Paire,Kevin Anderson,0.07577639751552795,0.07080745341614907,-0.026086956521739202,0.016149068322981353,0.006211180124223614,-0.1923076923076923,player2,0,1,1,0,0,1,0
21,Gilles Simon,Lloyd Harris,-0.04285714285714286,0.05102040816326531,-0.01224489795918371,0.13265306122448978,-0.028571428571428567,-0.125,player1,0,1,1,0,0,1,0
22,Cristian Garin,Gael Monfils,-0.09119496855345911,-0.05317324185248714,-0.10434534019439679,-0.11520869068038875,0.056032018296169245,-0.5,player2,0,1,1,0,0,1,0
23,Benoit Paire,Nicolas Jarry,-0.0011904761904761862,0.06488095238095239,-0.19047619047619047,-0.046130952380952384,0.08095238095238097,0.31818181818181823,player1,0,1,1,0,0,1,0
24,Kevin Anderson,Cristian Garin,0.3142857142857143,-0.06896551724137931,0.13940886699507393,0.358128078817734,-0.04088669950738917,0.41666666666666663,player1,0,1,1,0,0,1,0
25,Nicolas Jarry,Lloyd Harris,-0.07936507936507936,0.02976190476190476,0.01984126984126977,-0.12698412698412698,-0.015873015873015872,0.125,player2,0,1,1,0,0,1,0
26,Yoshihito Nishioka,Rafael Nadal,-0.09210526315789473,-0.010488176964149502,0.10755148741418763,0.05854309687261633,-0.13539282990083903,-0.35,player2,0,1,1,0,0,1,0
27,Roberto Bautista Agut,Go Soeda,0.06099290780141843,-0.016666666666666666,0.047517730496453914,0.1198581560283688,0.07943262411347518,0.375,player1,0,1,1,0,0,1,0
28,Rafael Nadal,Nikoloz Basilashvili,-0.01623376623376624,-0.029220779220779217,0.1444805194805195,0.1655844155844156,0.006493506493506468,-0.09999999999999998,player1,0,1,1,0,0,1,0
29,Roberto Bautista Agut,Aleksandre Metreveli,-0.04129353233830845,-0.029850746268656716,-0.011940298507462699,0.20149253731343286,0.2288557213930348,0.4285714285714286,player1,0,1,1,0,0,1,0
30,Rafael Nadal,Pablo Cuevas,-0.014579759862778735,-0.015008576329331044,-0.06560891938250424,0.111492281303602,0.19339622641509435,0.5,player1,0,1,1,0,0,1,0
31,Franco Roncadelli,Roberto Bautista Agut,-0.05128205128205128,0.0,-0.032733224222585955,-0.1936715766503,-0.12002182214948172,-0.2666666666666666,player2,0,1,1,0,0,1,0
32,Nikoloz Basilashvili,Yoshihito Nishioka,-0.0347082494969819,0.0573440643863179,-0.0369718309859155,-0.14713279678068414,-0.004527162977867205,-0.3535353535353535,player2,0,1,1,0,0,1,0
33,Aleksandre Metreveli,Go Soeda,-0.019571295433364402,0.06694625660142901,-0.11789375582479023,-0.14165890027958994,0.01770736253494873,0.0444444444444444,player2,0,1,1,0,0,1,0
34,Yoshihito Nishioka,Pablo Cuevas,0.02702702702702703,0.05405405405405406,-0.10060060060060061,0.2364864864864865,0.21471471471471473,0.8333333333333334,player1,0,1,1,0,0,1,0
35,Martin Cuevas,Go Soeda,0.07692307692307693,0.006378986866791746,-0.24727954971857413,-0.3380863039399624,0.04090056285178237,-0.5,player2,0,1,1,0,0,1,0
36,Pablo Cuevas,Nikoloz Basilashvili,0.07628458498023716,-0.030731225296442687,0.023814229249011887,-0.017094861660079064,-0.019268774703557312,0.5333333333333334,player2,0,1,1,0,0,1,0
37,Franco Roncadelli,Aleksandre Metreveli,-0.05263157894736842,0.020195838433292534,0.03671970624234999,-0.18053855569155453,-0.19339045287637696,-0.8333333333333334,player2,0,1,1,0,0,1,0
38,Daniel Evans,David Goffin,-0.030888030888030882,0.0,0.19835907335907332,0.11534749034749037,-0.0834942084942085,0.25,player1,0,1,1,0,0,1,0
39,Cameron Norrie,Steve Darcis,-0.06947996589940324,-0.0021312872975277064,0.010230179028133057,-0.21440750213128734,0.02429667519181586,0.5,player2,0,1,1,0,0,1,0
40,David Goffin,Grigor Dimitrov,0.07431566686080372,-0.03401281304601049,-0.027489807804309874,0.05905649388468259,0.055794991263832264,-0.15000000000000002,player1,0,1,1,0,0,1,0
41,Dimitar Kuzmanov,Steve Darcis,0.0,-0.024390243902439025,0.1493280238924839,0.12792434046789447,0.11050273768043804,0.2222222222222222,player1,0,1,1,0,0,1,0
42,David Goffin,Radu Albot,0.06349206349206349,0.023809523809523808,-0.06349206349206349,0.042328042328042326,0.11904761904761907,0.36363636363636365,player1,0,1,1,0,0,1,0
43,Alexander Cozbinov,Steve Darcis,-0.05355508086664632,-0.00045773573390296,0.0366188587122368,-0.018462007934086033,-0.030668294171498328,-0.14285714285714285,player2,0,1,1,0,0,1,0
44,Grigor Dimitrov,Daniel Evans,0.024988844265952697,0.04938271604938271,-0.02127026625018591,-0.027517477316674144,0.0779413952104715,0.05357142857142855,player1,0,1,1,0,0,1,0
45,Cameron Norrie,Dimitar Kuzmanov,0.08455284552845528,0.058943089430894303,0.020325203252032464,0.15975609756097564,-0.02967479674796747,0.0,player1,0,1,1,0,0,1,0
46,Daniel Evans,Radu Albot,-0.02930402930402931,-0.038461538461538464,-0.0064102564102564985,0.13003663003663002,0.16575091575091577,0.16666666666666663,player1,0,1,1,0,0,1,0
47,Alexander Cozbinov,Cameron Norrie,-0.07894736842105263,0.008771929824561403,0.10526315789473684,-0.12280701754385964,-0.21052631578947367,-0.5,player2,0,1,1,0,0,1,0
48,Radu Albot,Grigor Dimitrov,-0.08771929824561403,-0.10035087719298244,-0.13403508771929828,-0.20631578947368417,0.04210526315789476,-0.46666666666666673,player2,0,1,1,0,0,1,0
49,Alexander Cozbinov,Dimitar Kuzmanov,-0.05570652173913043,-0.013360507246376812,0.05095108695652173,-0.07540760869565216,-0.0935235507246377,-0.29166666666666663,player2,0,1,1,0,0,1,0
50,Fabio Fognini,Daniil Medvedev,-0.06089508437270726,-0.047688921496698455,0.05465884079236982,-0.052090975788701366,-0.08840792369772563,0.7777777777777778,player2,0,1,1,0,0,1,0
51,Karen Khachanov,Stefano Travaglia,0.006100795755968169,-0.0363395225464191,0.19045092838196287,0.1745358090185677,-0.06657824933687001,0.1333333333333333,player1,0,1,1,0,0,1,0
